id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
160532;EliCorreaFilho;Eli Corrêa Filho;dem;SP;3;3;1;1;1;1;1;3;1;3;1;1;1;0;0;0;1;1;3;1
181316;ElizeuDionizio;Elizeu Dionizio;psdb;MS;1;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;1
181316;ElizeuDionizio;Elizeu Dionizio;solidaried;MS;3;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1
178883;ElizianeGama;Eliziane Gama;pps;MA;3;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1
178883;ElizianeGama;Eliziane Gama;rede;MA;0;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;1
178854;ElmarNascimento;Elmar Nascimento;dem;BA;1;1;0;1;1;1;1;1;1;1;1;1;0;3;1;0;1;1;1;1
132504;EnioVerri;Enio Verri;pt;PR;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
160575;ErikaKokay;Erika Kokay;pt;DF;0;1;1;0;0;0;0;0;0;0;0;1;1;3;3;1;0;1;0;0
99654;EriveltonSantana;Erivelton Santana;psc;BA;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1
160640;ErosBiondini;Eros Biondini;ptb;MG;1;3;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1
160649;EsperidiaoAmin;Esperidião Amin;pp;SC;0;3;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;1
178871;EvairdeMelo;Evair de Melo;pv;ES;0;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1
178828;EvandroGussi;Evandro Gussi;pv;SP;1;1;3;0;0;0;1;1;1;1;0;1;3;0;0;1;0;1;0;1
178930;EvandroRoman;Evandro Roman;psd;PR;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1
178953;ExpeditoNetto;Expedito Netto;solidaried;RO;0;1;1;1;0;1;1;1;1;0;1;1;3;0;3;1;0;3;1;1
178941;EzequielTeixeira;Ezequiel Teixeira;solidaried;RJ;1;1;1;1;1;1;1;1;1;NA;1;1;NA;0;3;1;1;1;0;1
141428;FabioFaria;Fábio Faria;psd;RN;1;1;1;NA;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1
178905;FabioGarcia;Fabio Garcia;psb;MT;1;3;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1
178969;FabioMitidieri;Fábio Mitidieri;psd;SE;0;1;0;1;1;1;1;1;1;0;1;1;3;1;1;1;0;1;1;0
141427;FabioRamalho;Fábio Ramalho;pv;MG;1;1;1;0;0;0;1;1;1;1;0;1;3;3;1;1;0;1;1;1
171623;FabioReis;Fabio Reis;pmdb;SE;1;3;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1
178877;FabioSousa;Fábio Sousa;psdb;GO;1;0;1;1;1;1;1;1;1;1;3;0;NA;0;0;0;1;1;0;1
66828;FaustoPinato;Fausto Pinato;prb;SP;1;3;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1
141430;FelipeBornier;Felipe Bornier;psd;RJ;3;1;0;1;1;1;1;1;3;1;1;1;1;0;0;1;1;1;1;1
141429;FelipeMaia;Felipe Maia;dem;RN;1;1;3;1;1;1;1;1;1;1;1;1;NA;0;0;0;1;1;1;1
141431;FernandoCoelhoFilho;Fernando Coelho Filho;psb;PE;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1
160646;FernandoFrancischini;Fernando Francischini;solidaried;PR;3;3;1;1;1;1;1;1;3;1;3;1;1;3;3;1;0;1;1;1
163831;FernandoJordao;Fernando Jordão;pmdb;RJ;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
160676;FernandoTorres;Fernando Torres;psd;BA;1;1;1;1;0;0;1;1;1;1;1;1;0;1;3;3;3;1;3;0
160598;FlaviaMorais;Flávia Morais;pdt;GO;3;3;1;1;0;0;0;0;1;0;1;1;1;0;0;3;3;1;3;1
141434;FlavianoMelo;Flaviano Melo;pmdb;AC;3;3;3;1;1;1;1;1;1;1;1;1;3;1;1;0;0;3;0;1
178978;Flavinho;Flavinho;psb;SP;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1
178907;FranciscoChapadinha;Francisco Chapadinha;psd;PA;1;1;1;1;1;3;3;3;1;3;1;3;1;3;1;1;0;1;0;1
160677;FranciscoFloriano;Francisco Floriano;pr;RJ;0;1;1;1;1;3;1;1;1;0;1;1;NA;1;1;1;0;1;1;1
129037;GabrielGuimaraes;Gabriel Guimarães;pt;MG;1;3;1;0;0;0;0;0;3;0;0;1;3;1;1;1;0;3;0;0
160669;GeneciasNoronha;Genecias Noronha;solidaried;CE;1;1;1;3;1;3;1;1;1;1;3;1;3;0;0;1;0;3;1;1
178966;GeovaniadeSa;Geovania de Sá;psdb;SC;1;1;3;1;1;1;1;1;0;0;3;1;1;0;0;1;0;1;1;1
74374;GeraldoResende;Geraldo Resende;pmdb;MS;1;0;1;1;1;1;1;1;1;0;1;1;1;3;1;1;0;1;1;1
74383;Giacobo;Giacobo;pr;PR;3;3;3;3;1;1;1;1;1;0;3;3;3;1;1;1;0;1;1;1
74270;GilbertoNascimento;Gilberto Nascimento;psc;SP;1;3;0;1;1;1;1;1;1;1;1;1;1;0;0;3;3;1;3;1
160673;GiovaniCherini;Giovani Cherini;pdt;RS;1;0;1;1;0;0;3;0;1;0;1;1;1;0;0;1;0;1;1;1
178878;GiuseppeVecci;Giuseppe Vecci;psdb;GO;1;0;3;1;1;1;1;1;1;NA;1;1;1;0;0;1;0;1;0;1
74558;GivaldoCarimbao;Givaldo Carimbão;pros;AL;3;3;1;3;0;0;1;1;1;0;1;1;0;1;1;1;3;1;0;0
178872;GivaldoVieira;Givaldo Vieira;pt;ES;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
152605;GlauberBraga;Glauber Braga;psb;RJ;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
152605;GlauberBraga;Glauber Braga;psol;RJ;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;0
74419;GonzagaPatriota;Gonzaga Patriota;psb;PE;0;3;1;3;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1
129618;GoretePereira;Gorete Pereira;pr;CE;1;1;1;1;1;1;3;3;1;3;1;3;1;1;1;1;3;1;1;0
178980;Goulart;Goulart;psd;SP;1;1;3;1;1;1;1;1;1;0;0;1;NA;3;1;1;0;1;1;1
160667;GuilhermeMussi;Guilherme Mussi;pp;SP;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;0;1;3;1
178964;HeitorSchuch;Heitor Schuch;psb;RS;0;3;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1
